municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
55,38.0,36.0,M,F,2019,9,12
55,29.0,24.0,M,F,2019,9,12
29,56.0,47.0,M,F,2019,10,9
55,26.0,26.0,M,F,2019,10,9
2,30.0,25.0,M,F,2019,10,9
30,26.0,26.0,M,F,2019,10,9
30,28.0,24.0,M,F,2019,10,9
55,28.0,27.0,M,F,2019,10,9
18,24.0,25.0,M,F,2019,6,14
43,22.0,20.0,M,F,2019,6,14
35,32.0,19.0,M,F,2019,6,14
55,36.0,36.0,M,F,2019,6,14
30,53.0,48.0,M,F,2019,6,14
42,26.0,26.0,M,F,2019,6,14
29,68.0,63.0,M,F,2019,6,14
30,29.0,21.0,M,F,2019,6,14
33,25.0,23.0,M,F,2019,12,27
55,84.0,59.0,M,F,2019,12,30
43,34.0,34.0,M,F,2019,9,25
16,39.0,31.0,M,F,2019,10,19
56,31.0,29.0,M,F,2019,10,19
30,28.0,29.0,M,F,2019,10,19
30,37.0,48.0,M,F,2019,10,22
18,18.0,18.0,M,F,2019,10,22
35,35.0,39.0,M,F,2019,10,22
42,23.0,26.0,M,F,2019,6,28
43,27.0,27.0,M,F,2019,6,26
30,35.0,28.0,M,F,2019,6,26
30,28.0,31.0,M,F,2019,6,26
30,28.0,19.0,M,F,2019,6,26
35,28.0,28.0,M,F,2019,7,31
55,37.0,34.0,M,F,2019,7,31
42,26.0,28.0,M,F,2019,11,22
18,30.0,28.0,M,F,2019,11,23
30,25.0,24.0,M,F,2019,11,23
27,64.0,54.0,M,F,2019,10,4
35,38.0,29.0,M,F,2019,10,5
30,32.0,29.0,M,F,2019,10,5
35,54.0,47.0,M,F,2019,11,1
30,27.0,28.0,M,F,2019,11,1
30,30.0,28.0,M,F,2019,11,1
18,29.0,23.0,M,F,2019,11,2
18,31.0,28.0,M,F,2019,11,2
29,27.0,25.0,M,F,2019,11,1
35,22.0,21.0,M,F,2019,8,12
55,45.0,44.0,M,F,2019,8,16
55,63.0,49.0,M,F,2019,8,19
30,34.0,32.0,M,F,2019,10,16
55,34.0,29.0,M,F,2019,10,16
30,32.0,31.0,M,F,2019,10,16
30,19.0,19.0,M,F,2019,10,16
55,31.0,30.0,M,F,2019,9,2
35,59.0,48.0,M,F,2019,9,2
30,26.0,24.0,M,F,2019,9,2
29,39.0,41.0,M,F,2019,9,2
33,67.0,62.0,M,F,2019,10,21
30,23.0,23.0,M,F,2019,10,21
33,29.0,35.0,M,F,2019,10,31
35,40.0,35.0,M,F,2019,12,20
30,27.0,29.0,M,F,2019,12,21
18,27.0,31.0,M,F,2019,12,20
18,25.0,22.0,M,F,2019,12,20
18,28.0,39.0,M,F,2019,8,16
55,34.0,33.0,M,F,2019,12,18
30,24.0,24.0,M,F,2019,12,18
2,43.0,42.0,M,F,2019,12,18
33,33.0,22.0,M,F,2019,12,18
17,22.0,23.0,M,F,2019,12,18
30,34.0,33.0,M,F,2019,12,18
26,29.0,27.0,M,F,2019,12,18
35,41.0,49.0,M,F,2019,10,9
30,44.0,33.0,M,F,2019,10,9
55,65.0,58.0,M,F,2019,11,15
33,27.0,31.0,M,F,2019,11,15
30,40.0,43.0,M,F,2019,11,15
55,42.0,37.0,M,F,2019,11,15
29,32.0,31.0,M,F,2019,11,15
30,40.0,40.0,M,F,2019,6,14
43,24.0,22.0,M,F,2019,9,12
30,26.0,28.0,M,F,2019,9,12
30,51.0,46.0,M,F,2019,9,12
42,20.0,19.0,M,F,2019,9,12
2,65.0,55.0,M,F,2019,9,12
30,31.0,23.0,M,F,2019,9,12
29,56.0,62.0,M,F,2019,9,12
30,40.0,28.0,M,F,2019,6,3
30,22.0,32.0,M,F,2019,6,3
55,31.0,25.0,M,F,2019,6,3
42,18.0,18.0,M,F,2019,6,3
30,29.0,27.0,M,F,2019,6,3
30,25.0,25.0,M,F,2019,10,22
29,28.0,25.0,M,F,2019,10,22
29,24.0,24.0,M,F,2019,11,22
30,27.0,27.0,M,F,2019,11,23
30,36.0,36.0,M,F,2019,11,22
55,31.0,29.0,M,F,2019,11,22
30,36.0,36.0,M,F,2019,11,23
25,34.0,35.0,M,F,2019,11,22
42,25.0,24.0,M,F,2019,7,31
55,26.0,26.0,M,F,2019,7,31
55,36.0,33.0,M,F,2019,8,2
27,20.0,19.0,M,F,2019,8,3
30,52.0,40.0,M,F,2019,9,25
43,27.0,21.0,M,F,2019,9,25
35,31.0,27.0,M,F,2019,11,6
55,22.0,20.0,M,F,2019,11,6
30,40.0,34.0,M,F,2019,11,6
72,33.0,30.0,M,F,2019,11,6
30,27.0,33.0,M,F,2019,11,6
30,34.0,27.0,M,F,2019,11,6
18,24.0,23.0,M,F,2019,11,1
71,45.0,39.0,M,F,2019,11,1
30,34.0,30.0,M,F,2019,11,1
55,38.0,36.0,M,F,2019,11,22
25,24.0,26.0,M,F,2019,11,22
18,31.0,32.0,M,F,2019,11,23
55,49.0,42.0,M,F,2019,11,22
55,31.0,26.0,M,F,2019,11,22
17,35.0,33.0,M,F,2019,10,16
35,26.0,22.0,M,F,2019,10,16
55,46.0,25.0,M,F,2019,10,16
30,41.0,40.0,M,F,2019,10,16
55,22.0,22.0,M,F,2019,7,12
42,23.0,22.0,M,F,2019,7,14
29,30.0,27.0,M,F,2019,10,17
18,25.0,25.0,M,F,2019,10,18
30,61.0,56.0,M,F,2019,10,18
47,20.0,23.0,M,F,2019,12,20
55,42.0,43.0,M,F,2019,12,20
55,34.0,37.0,M,F,2019,12,20
25,19.0,19.0,M,F,2019,12,20
33,60.0,45.0,M,F,2019,11,11
43,45.0,43.0,M,F,2019,11,11
42,62.0,55.0,M,F,2019,12,18
30,31.0,30.0,M,F,2019,11,15
42,29.0,27.0,M,F,2019,11,15
55,54.0,41.0,M,F,2019,11,15
48,37.0,36.0,M,F,2019,11,25
18,52.0,39.0,M,F,2019,11,25
47,26.0,31.0,M,F,2019,11,25
55,32.0,30.0,M,F,2019,11,25
2,33.0,35.0,M,F,2019,11,25
18,72.0,70.0,M,F,2019,9,12
30,50.0,45.0,M,F,2019,10,9
18,31.0,23.0,M,F,2019,10,9
2,41.0,37.0,M,F,2019,10,9
18,73.0,73.0,M,F,2019,10,9
48,35.0,34.0,M,F,2019,10,9
19,27.0,26.0,M,F,2019,10,11
29,57.0,50.0,M,F,2019,6,3
39,51.0,47.0,M,F,2019,6,3
55,29.0,23.0,M,F,2019,6,3
36,26.0,21.0,M,F,2019,6,14
58,24.0,22.0,M,F,2019,6,14
30,25.0,27.0,M,F,2019,11,23
12,34.0,28.0,M,F,2019,11,22
18,47.0,38.0,M,F,2019,11,22
29,31.0,19.0,M,F,2019,9,25
35,25.0,26.0,M,F,2019,9,25
18,36.0,36.0,M,F,2019,9,25
47,53.0,54.0,M,F,2019,9,25
43,38.0,36.0,M,F,2019,9,25
42,60.0,58.0,M,F,2019,10,22
30,32.0,25.0,M,F,2019,10,22
48,25.0,26.0,M,F,2019,11,6
17,36.0,30.0,M,F,2019,11,6
18,64.0,47.0,M,F,2019,6,26
56,24.0,21.0,M,F,2019,6,26
29,30.0,30.0,M,F,2019,6,26
30,31.0,21.0,M,F,2019,6,26
43,32.0,29.0,M,F,2019,6,26
43,21.0,19.0,M,F,2019,6,27
30,53.0,44.0,M,F,2019,11,23
18,28.0,25.0,M,F,2019,11,24
30,25.0,25.0,M,F,2019,11,24
30,30.0,30.0,M,F,2019,10,18
48,22.0,21.0,M,F,2019,10,21
18,31.0,31.0,M,F,2019,10,20
55,21.0,21.0,M,F,2019,12,20
18,60.0,67.0,M,F,2019,12,20
55,38.0,29.0,M,F,2019,12,20
25,34.0,31.0,M,F,2019,12,20
55,46.0,40.0,M,F,2019,12,20
42,84.0,74.0,M,F,2019,11,11
55,18.0,19.0,M,F,2019,11,11
2,61.0,54.0,M,F,2019,11,11
18,25.0,28.0,M,F,2019,11,11
71,25.0,25.0,M,F,2019,11,11
30,23.0,25.0,M,F,2019,11,11
30,64.0,55.0,M,F,2019,6,6
55,20.0,18.0,M,F,2019,11,25
29,23.0,30.0,M,F,2019,11,25
42,32.0,30.0,M,F,2019,11,25
30,55.0,59.0,M,F,2019,10,9
18,31.0,21.0,M,F,2019,10,9
30,45.0,21.0,M,F,2019,10,9
30,30.0,25.0,M,F,2019,11,22
23,30.0,24.0,M,F,2019,11,22
30,33.0,27.0,M,F,2019,11,25
55,50.0,48.0,M,F,2019,11,22
30,45.0,46.0,M,F,2019,11,22
18,26.0,24.0,M,F,2019,7,24
43,22.0,23.0,M,F,2019,7,25
2,33.0,21.0,M,F,2019,9,12
18,26.0,26.0,M,F,2019,9,12
48,26.0,20.0,M,F,2019,9,12
30,28.0,22.0,M,F,2019,9,12
10,49.0,38.0,M,F,2019,9,12
18,24.0,18.0,M,F,2019,11,25
18,27.0,25.0,M,F,2019,11,25
18,25.0,26.0,M,F,2019,11,25
18,36.0,35.0,M,F,2019,11,25
33,32.0,25.0,M,F,2019,11,25
55,39.0,38.0,M,F,2019,11,25
30,38.0,31.0,M,F,2019,11,25
29,36.0,28.0,M,F,2019,11,25
30,48.0,32.0,M,F,2019,11,25
55,38.0,24.0,M,F,2019,10,22
30,70.0,49.0,M,F,2019,10,22
35,39.0,42.0,M,F,2019,10,22
36,27.0,24.0,M,F,2019,10,22
18,33.0,25.0,M,F,2019,10,22
30,22.0,23.0,M,F,2019,10,22
33,33.0,28.0,M,F,2019,11,22
30,27.0,29.0,M,F,2019,11,22
35,29.0,22.0,M,F,2019,6,28
30,26.0,26.0,M,F,2019,6,28
43,22.0,19.0,M,F,2019,6,28
18,33.0,30.0,M,F,2019,8,23
18,28.0,29.0,M,F,2019,8,23
42,29.0,29.0,M,F,2019,11,6
18,30.0,24.0,M,F,2019,11,6
19,22.0,21.0,M,F,2019,11,7
30,26.0,27.0,M,F,2019,12,20
30,38.0,30.0,M,F,2019,12,20
12,26.0,38.0,M,F,2019,12,26
55,72.0,56.0,M,F,2019,11,19
55,21.0,21.0,M,F,2019,11,19
29,36.0,36.0,M,F,2019,11,19
18,48.0,33.0,M,F,2019,11,19
43,19.0,24.0,M,F,2019,6,6
29,34.0,34.0,M,F,2019,6,6
41,25.0,21.0,M,F,2019,6,6
30,44.0,34.0,M,F,2019,6,6
30,27.0,26.0,M,F,2019,6,28
27,21.0,22.0,M,F,2019,6,28
47,20.0,25.0,M,F,2019,6,28
55,23.0,20.0,M,F,2019,8,9
43,26.0,28.0,M,F,2019,11,21
55,39.0,33.0,M,F,2019,11,22
42,30.0,27.0,M,F,2019,11,22
30,29.0,29.0,M,F,2019,11,22
18,23.0,23.0,M,F,2019,11,27
29,52.0,39.0,M,F,2019,11,27
30,62.0,57.0,M,F,2019,11,27
12,64.0,52.0,M,F,2019,12,2
19,34.0,29.0,M,F,2019,9,13
30,33.0,32.0,M,F,2019,9,12
55,49.0,44.0,M,F,2019,9,12
18,22.0,28.0,M,F,2019,10,9
55,24.0,36.0,M,F,2019,10,9
4,25.0,31.0,M,F,2019,10,9
48,22.0,23.0,M,F,2019,10,9
43,31.0,30.0,M,F,2019,10,9
55,40.0,31.0,M,F,2019,6,3
29,50.0,39.0,M,F,2019,6,3
55,48.0,52.0,M,F,2019,6,3
48,19.0,19.0,M,F,2019,6,3
55,41.0,38.0,M,F,2019,6,3
30,31.0,35.0,M,F,2019,6,3
14,26.0,23.0,M,F,2019,6,3
55,33.0,22.0,M,F,2019,6,3
29,33.0,26.0,M,F,2019,11,22
18,24.0,23.0,M,F,2019,11,22
30,28.0,27.0,M,F,2019,11,23
30,35.0,28.0,M,F,2019,11,22
30,42.0,24.0,M,F,2019,11,22
30,19.0,18.0,M,F,2019,11,23
18,23.0,25.0,M,F,2019,8,29
55,51.0,44.0,M,F,2019,8,29
55,19.0,19.0,M,F,2019,9,26
48,39.0,37.0,M,F,2019,9,26
55,25.0,24.0,M,F,2019,9,26
18,47.0,45.0,M,F,2019,9,26
42,29.0,27.0,M,F,2019,9,26
30,32.0,30.0,M,F,2019,11,6
42,45.0,40.0,M,F,2019,11,6
39,64.0,60.0,M,F,2019,11,6
55,77.0,51.0,M,F,2019,7,8
42,28.0,26.0,M,F,2019,7,26
30,37.0,36.0,M,F,2019,7,24
30,21.0,34.0,M,F,2019,11,19
29,39.0,45.0,M,F,2019,11,19
29,60.0,51.0,M,F,2019,11,19
29,35.0,28.0,M,F,2019,11,19
18,23.0,21.0,M,F,2019,6,28
30,25.0,26.0,M,F,2019,6,29
55,46.0,41.0,M,F,2019,6,28
35,30.0,28.0,M,F,2019,6,28
30,31.0,30.0,M,F,2019,8,12
30,33.0,23.0,M,F,2019,8,12
47,26.0,22.0,M,F,2019,8,12
21,28.0,29.0,M,F,2019,8,12
72,36.0,31.0,M,F,2019,8,12
55,68.0,45.0,M,F,2019,8,12
35,65.0,39.0,M,F,2019,8,12
55,23.0,24.0,M,F,2019,12,18
21,29.0,25.0,M,F,2019,12,7
17,30.0,24.0,M,F,2019,6,14
35,30.0,31.0,M,F,2019,6,14
30,23.0,22.0,M,F,2019,7,5
55,20.0,18.0,M,F,2019,7,5
5,33.0,32.0,M,F,2019,7,5
18,32.0,27.0,M,F,2019,7,6
35,24.0,20.0,M,F,2019,10,9
29,24.0,25.0,M,F,2019,10,10
21,23.0,21.0,M,F,2019,10,12
30,36.0,33.0,M,F,2019,11,22
29,26.0,22.0,M,F,2019,11,22
30,36.0,33.0,M,F,2019,11,22
30,32.0,30.0,M,F,2019,11,22
33,60.0,59.0,M,F,2019,11,22
18,24.0,23.0,M,F,2019,7,25
43,75.0,67.0,M,F,2019,7,25
55,52.0,33.0,M,F,2019,7,25
21,66.0,58.0,M,F,2019,7,25
41,24.0,25.0,M,F,2019,7,26
43,28.0,26.0,M,F,2019,7,25
55,25.0,26.0,M,F,2019,7,25
30,25.0,23.0,M,F,2019,11,6
55,23.0,21.0,M,F,2019,11,6
19,44.0,46.0,M,F,2019,11,6
55,46.0,49.0,M,F,2019,11,6
18,32.0,26.0,M,F,2019,9,26
18,30.0,38.0,M,F,2019,9,26
43,30.0,35.0,M,F,2019,9,26
18,28.0,29.0,M,F,2019,10,25
29,29.0,28.0,M,F,2019,10,24
55,31.0,23.0,M,F,2019,10,24
29,51.0,40.0,M,F,2019,10,24
20,28.0,27.0,M,F,2019,10,25
43,27.0,21.0,M,F,2019,7,24
30,36.0,25.0,M,F,2019,7,24
47,47.0,45.0,M,F,2019,7,24
29,31.0,35.0,M,F,2019,9,6
48,47.0,54.0,M,F,2019,9,6
